"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"541","Addison Reed",543685,"FF|FF","Foul","null","null"
"544","Addison Reed",452220,"FF|FF","Strike","null","null"
"545","Addison Reed",452220,"FF|FF","Hit","92.5","30.98"
"549","Addison Reed",457787,"SL|SL","Foul","null","null"
"550","Addison Reed",457787,"SL|FF","Foul","null","null"
"557","Addison Reed",457787,"SL|FF","Strike","null","null"
"563","Addison Reed",452220,"SL|FF","Hit","77.7","23.96"
"565","Addison Reed",519184,"FF|SL","Hit","70.5","38.19"
"566","Addison Reed",519184,"SL|FF","Strike","null","null"
"569","Addison Reed",592663,"FF|FF","Foul","null","null"
"572","Addison Reed",542303,"SL|FF","Foul","null","null"
"574","Addison Reed",542303,"SL|SL","Foul","null","null"
"579","Addison Reed",592885,"FF|FF","Hit","99.5","-2.73"
"581","Addison Reed",592178,"FF|FF","Foul","null","null"
"584","Addison Reed",592178,"FF|FF","Strike","null","null"
"589","Addison Reed",575929,"FF|FF","Foul","null","null"
"590","Addison Reed",575929,"FF|FF","Strike","null","null"
"593","Addison Reed",471083,"FF|SL","Foul","null","null"
"594","Addison Reed",471083,"SL|SL","Foul","null","null"
"597","Addison Reed",608365,"FF|FF","Foul","null","null"
"599","Addison Reed",608365,"SL|FF","Foul","null","null"
"600","Addison Reed",608365,"FF|FF","Foul","null","null"
"603","Addison Reed",595879,"FF|FF","Strike","null","null"
"604","Addison Reed",595879,"FF|FF","Strike","null","null"
"608","Addison Reed",458085,"SL|FF","Foul","null","null"
"609","Addison Reed",458085,"FF|SL","Foul","null","null"
"610","Addison Reed",458085,"SL|FF","Foul","null","null"
"611","Addison Reed",458085,"FF|SL","Foul","null","null"
"613","Addison Reed",458085,"FF|FF","Strike","null","null"
"619","Addison Reed",608365,"SL|FF","Foul","null","null"
"620","Addison Reed",608365,"FF|FF","Foul","null","null"
"621","Addison Reed",608365,"FF|SL","Foul","null","null"
"626","Addison Reed",575929,"SL|SL","Strike","null","null"
"630","Addison Reed",543685,"FF|FF","Strike","null","null"
"632","Addison Reed",457787,"FF|SL","Foul","null","null"
"634","Addison Reed",457787,"FF|FF","Foul","null","null"
"637","Addison Reed",452220,"FF|SL","Foul","null","null"
"639","Addison Reed",452220,"FF|FF","Hit","104.3","4.79"
"642","Addison Reed",452095,"FF|FF","Hit","90.9","49.56"
"645","Addison Reed",430947,"SL|SL","Strike","null","null"
"649","Addison Reed",466988,"FF|SL","Strike","null","null"
"651","Addison Reed",425796,"SL|SL","Strike","null","null"
"652","Addison Reed",425796,"SL|SL","Hit","81.7","27.54"
"655","Addison Reed",611177,"FF|FF","Hit","null","null"
"656","Addison Reed",611177,"FF|FF","Strike","null","null"
"657","Addison Reed",611177,"FF|FF","Foul","null","null"
"660","Addison Reed",466988,"FF|FF","Strike","null","null"
"663","Addison Reed",611177,"FF|FF","Hit","106","22.93"
"664","Addison Reed",611177,"FF|FF","Strike","null","null"
"666","Addison Reed",150229,"FF|FF","Hit","96.4","1.89"
"669","Addison Reed",430947,"FF|FF","Strike","null","null"
"672","Addison Reed",456715,"FF|FF","Strike","null","null"
"673","Addison Reed",456715,"FF|FF","Strike","null","null"
"675","Addison Reed",444876,"SL|FF","Foul","null","null"
"676","Addison Reed",444876,"FF|SL","Foul","null","null"
"678","Addison Reed",444876,"FF|FF","Strike","null","null"
"680","Addison Reed",444876,"SL|FF","Foul","null","null"
"681","Addison Reed",444876,"FF|FF","Foul","null","null"
"684","Addison Reed",543333,"FF|FF","Strike","null","null"
"685","Addison Reed",543333,"FF|FF","Hit","100.1","-13.98"
"688","Addison Reed",521692,"FF|FF","Foul","null","null"
"691","Addison Reed",521692,"FF|FF","Foul","null","null"
"692","Addison Reed",521692,"FF|FF","Hit","83","31.28"
"695","Addison Reed",444876,"SL|FF","Hit","null","null"
"699","Addison Reed",543333,"FF|FF","Strike","null","null"
"702","Addison Reed",456715,"SL|FF","Foul","null","null"
"704","Addison Reed",456715,"FF|FF","Hit","100.4","-25.57"
"706","Addison Reed",542255,"FF|FF","Foul","null","null"
"708","Addison Reed",542255,"FF|FF","Strike","null","null"
"711","Addison Reed",518692,"IN|IN","Hit","null","null"
"712","Addison Reed",518692,"IN|IN","Hit","null","null"
"713","Addison Reed",518692,"IN|IN","Hit","null","null"
"715","Addison Reed",425796,"FF|FF","Hit","100.3","12.86"
"717","Addison Reed",425796,"FF|FF","Foul","null","null"
"719","Addison Reed",455976,"FF|FF","Foul","null","null"
"721","Addison Reed",455976,"SL|FF","Foul","null","null"
"723","Addison Reed",455976,"FF|SL","Foul","null","null"
"725","Addison Reed",452095,"SL|FF","Foul","null","null"
"728","Addison Reed",452095,"SL|FF","Hit","92.5","21.86"
"731","Addison Reed",628356,"FF|FF","Strike","null","null"
"734","Addison Reed",457705,"FF|FF","Hit","103.8","24.81"
"737","Addison Reed",431094,"SL|SL","Hit","73.4","1.42"
"738","Addison Reed",431094,"SL|FF","Strike","null","null"
"739","Addison Reed",431094,"FF|FF","Foul","null","null"
"741","Addison Reed",571697,"FF|FF","Foul","null","null"
"742","Addison Reed",571697,"FF|FF","Foul","null","null"
"744","Addison Reed",571697,"FF|FF","Strike","null","null"
"745","Addison Reed",571697,"FF|FF","Foul","null","null"
"747","Addison Reed",571697,"FF|FF","Foul","null","null"
"751","Addison Reed",542979,"SL|FF","Foul","null","null"
"755","Addison Reed",542340,"FF|FF","Hit","91.3","43.94"
"758","Addison Reed",570717,"SL|FF","Hit","86.3","27.65"
"761","Addison Reed",431094,"FF|FF","Foul","null","null"
"763","Addison Reed",431094,"FF|FF","Strike","null","null"
"768","Addison Reed",446481,"SL|SL","Strike","null","null"
"769","Addison Reed",446481,"SL|FF","Foul","null","null"
"770","Addison Reed",446481,"FF|SL","Hit","79.1","-42.02"
"771","Addison Reed",446481,"SL|FF","Strike","null","null"
"772","Addison Reed",446481,"FF|FC","Foul","null","null"
"774","Addison Reed",516782,"FF|FF","Hit","null","null"
"779","Addison Reed",570256,"FF|FF","Foul","null","null"
"782","Addison Reed",628356,"FF|SL","Foul","null","null"
"784","Addison Reed",628356,"FF|FF","Strike","null","null"
"785","Addison Reed",628356,"FF|FF","Foul","null","null"
"793","Addison Reed",453400,"SL|FF","Foul","null","null"
"795","Addison Reed",453400,"SL|FF","Strike","null","null"
"797","Addison Reed",453400,"SL|FF","Foul","null","null"
"798","Addison Reed",453400,"FF|FF","Foul","null","null"
"799","Addison Reed",453400,"FF|FF","Foul","null","null"
"800","Addison Reed",453400,"FF|FF","Hit","100.6","15.56"
"803","Addison Reed",500743,"FF|FF","Hit","94.9","-10.12"
"804","Addison Reed",500743,"FF|FF","Strike","null","null"
"807","Addison Reed",445988,"SL|FF","Strike","null","null"
"808","Addison Reed",445988,"FF|FF","Strike","null","null"
"810","Addison Reed",542303,"FF|FF","Strike","null","null"
"811","Addison Reed",542303,"FF|FF","Strike","null","null"
"814","Addison Reed",519317,"FF|FF","Strike","null","null"
"819","Addison Reed",592885,"FF|FF","Foul","null","null"
"824","Addison Reed",276519,"FF|FF","Strike","null","null"
"828","Addison Reed",594809,"FF|FF","Foul","null","null"
"829","Addison Reed",594809,"FF|FF","Foul","null","null"
"830","Addison Reed",594809,"FF|FF","Foul","null","null"
"831","Addison Reed",594809,"FF|FF","Strike","null","null"
"832","Addison Reed",594809,"FF|FF","Strike","null","null"
"836","Addison Reed",547989,"FF|FF","Hit","83.4","38.18"
"837","Addison Reed",547989,"FF|FF","Strike","null","null"
"838","Addison Reed",547989,"FF|FF","Foul","null","null"
"843","Addison Reed",276519,"FF|FF","Strike","null","null"
"846","Addison Reed",488671,"SL|FF","Foul","null","null"
"847","Addison Reed",488671,"FF|FF","Strike","null","null"
"848","Addison Reed",488671,"FF|FF","Strike","null","null"
"852","Addison Reed",592626,"SL|FF","Strike","null","null"
"856","Addison Reed",435062,"SL|FF","Strike","null","null"
"857","Addison Reed",435062,"FF|FF","Foul","null","null"
"858","Addison Reed",435062,"FF|FF","Foul","null","null"
"860","Addison Reed",454560,"FF|FF","Foul","null","null"
"864","Addison Reed",454560,"FF|FF","Hit","87.4","37.61"
"867","Addison Reed",457759,"FF|FC","Foul","null","null"
"868","Addison Reed",457759,"FC|FF","Foul","null","null"
"871","Addison Reed",457759,"FF|FF","Hit","86","-5.22"
"873","Addison Reed",474892,"FF|FF","Strike","null","null"
"874","Addison Reed",474892,"FF|FF","Foul","null","null"
"879","Addison Reed",543590,"FF|SL","Hit","86.9","-25.13"
"881","Addison Reed",502100,"FF|FF","Foul","null","null"
"882","Addison Reed",502100,"FF|FC","Foul","null","null"
"884","Addison Reed",502100,"FF|FF","Strike","null","null"
"890","Addison Reed",570717,"FF|FF","Strike","null","null"
"891","Addison Reed",570717,"FF|FF","Foul","null","null"
"892","Addison Reed",570717,"FF|SL","Foul","null","null"
"894","Addison Reed",570717,"FF|SL","Foul","null","null"
"895","Addison Reed",570717,"SL|FF","Foul","null","null"
"902","Addison Reed",543590,"FF|FF","Hit","89.5","46.8"
"906","Addison Reed",570717,"SL|FF","Strike","null","null"
"907","Addison Reed",570717,"FF|FF","Strike","null","null"
"908","Addison Reed",570717,"FF|FF","Foul","null","null"
"909","Addison Reed",570717,"FF|SL","Foul","null","null"
"911","Addison Reed",502100,"SL|FF","Strike","null","null"
"912","Addison Reed",502100,"FF|FF","Hit","null","null"
"914","Addison Reed",467092,"FF|SL","Hit","89.2","-40.91"
"916","Addison Reed",452220,"FF|SL","Hit","93.9","59.72"
"917","Addison Reed",452220,"SL|FF","Strike","null","null"
"919","Addison Reed",519208,"FF|FF","Strike","null","null"
"920","Addison Reed",519208,"FF|FF","Hit","78.9","42.22"
"923","Addison Reed",457787,"FF|FC","Strike","null","null"
"930","Addison Reed",471865,"SL|FF","Hit","106.1","-28.37"
"931","Addison Reed",471865,"FF|FF","Foul","null","null"
"933","Addison Reed",448602,"FC|FF","Strike","null","null"
"936","Addison Reed",518934,"FF|FC","Foul","null","null"
"937","Addison Reed",518934,"FC|FF","Foul","null","null"
"938","Addison Reed",518934,"FF|FF","Hit","86","-0.38"
"942","Addison Reed",571976,"FC|FF","Foul","null","null"
"943","Addison Reed",571976,"FF|FF","Strike","null","null"
"944","Addison Reed",571976,"FF|FF","Foul","null","null"
"952","Addison Reed",571976,"SL|FF","Hit","89.8","-14.38"
"954","Addison Reed",461314,"FF|FF","Foul","null","null"
"956","Addison Reed",461314,"SL|FF","Foul","null","null"
"957","Addison Reed",461314,"FF|FF","Foul","null","null"
"962","Addison Reed",477165,"FF|FF","Foul","null","null"
"966","Addison Reed",425834,"FF|FF","Foul","null","null"
"970","Addison Reed",493351,"FF|SL","Strike","null","null"
"972","Addison Reed",461314,"FF|FF","Foul","null","null"
"978","Addison Reed",425834,"FF|FC","Foul","null","null"
"981","Addison Reed",571976,"FF|FF","Hit","95.7","-13.92"
"982","Addison Reed",571976,"FF|FF","Foul","null","null"
"984","Addison Reed",571976,"SL|FF","Foul","null","null"
"987","Addison Reed",605480,"SL|FF","Strike","null","null"
"988","Addison Reed",605480,"FF|FF","Foul","null","null"
"989","Addison Reed",605480,"FF|FF","Foul","null","null"
"991","Addison Reed",611177,"FF|FF","Strike","null","null"
"992","Addison Reed",611177,"FF|FF","Foul","null","null"
"994","Addison Reed",518692,"CH|FF","Foul","null","null"
"997","Addison Reed",425796,"FF|FF","Foul","null","null"
"999","Addison Reed",425796,"FF|FF","Foul","null","null"
"1003","Addison Reed",434636,"FF|FF","Strike","null","null"
"1006","Addison Reed",622110,"FF|FF","Foul","null","null"
"1007","Addison Reed",622110,"FF|FF","Foul","null","null"
"1008","Addison Reed",622110,"FF|FF","Foul","null","null"
"1009","Addison Reed",622110,"FF|FF","Foul","null","null"
"1011","Addison Reed",622110,"SL|FF","Strike","null","null"
"1014","Addison Reed",622110,"SL|FF","Foul","null","null"
"1015","Addison Reed",622110,"FF|FF","Foul","null","null"
"1016","Addison Reed",622110,"FF|FF","Foul","null","null"
"1018","Addison Reed",457763,"FF|FF","Strike","null","null"
"1022","Addison Reed",474832,"FF|FF","Strike","null","null"
"1025","Addison Reed",594807,"SL|SL","Foul","null","null"
"1026","Addison Reed",594807,"SL|FF","Strike","null","null"
"1027","Addison Reed",594807,"FF|FF","Strike","null","null"
"1030","Addison Reed",571466,"FF|FF","Hit","99.3","30.36"
"1033","Addison Reed",594807,"FF|FF","Foul","null","null"
"1037","Addison Reed",571466,"SL|FF","Strike","null","null"
"1042","Addison Reed",594988,"FF|FF","Strike","null","null"
"1046","Addison Reed",457574,"SL|FF","Strike","null","31.78"
"1047","Addison Reed",457574,"FF|FF","Strike","null","null"
"1048","Addison Reed",457574,"FF|FF","Hit","null","null"
"1056","Addison Reed",611177,"FF|FF","Foul","null","29.25"
"1057","Addison Reed",611177,"FF|FF","Foul","null","null"
"1058","Addison Reed",611177,"FF|SL","Hit","95.9","-5.36"
"1060","Addison Reed",611177,"FF|FF","Foul","null","74.74"
"1061","Addison Reed",611177,"FF|FF","Foul","null","31.03"
"1062","Addison Reed",611177,"FF|FF","Foul","null","null"
"1063","Addison Reed",611177,"FF|FF","Foul","null","null"
"1068","Addison Reed",452095,"FF|FF","Foul","null","36.24"
"1073","Addison Reed",425796,"SL|FF","Foul","null","null"
"1076","Addison Reed",430947,"SL|SL","Hit","87.5","-19.41"
"1077","Addison Reed",430947,"SL|FF","Foul","null","null"
"1078","Addison Reed",430947,"FF|FF","Strike","null","null"
"1079","Addison Reed",430947,"FF|SL","Strike","null","null"
"1087","Addison Reed",430637,"FF|SL","Foul","null","null"
"1090","Addison Reed",430637,"SL|FF","Strike","null","null"
"1091","Addison Reed",430637,"FF|FF","Foul","null","null"
"1095","Addison Reed",573131,"SL|FF","Strike","null","null"
"1098","Addison Reed",488721,"FF|FF","Hit","70.7","13.67"
"1101","Addison Reed",546318,"IN|IN","Hit","null","null"
"1102","Addison Reed",546318,"IN|IN","Hit","null","null"
"1103","Addison Reed",546318,"IN|IN","Hit","null","null"
"1105","Addison Reed",514917,"FF|FF","Strike","null","null"
"1108","Addison Reed",435063,"SL|FF","Strike","null","null"
"1109","Addison Reed",435063,"FF|FF","Foul","null","null"
"1111","Addison Reed",467793,"SL|FF","Foul","null","null"
"1112","Addison Reed",467793,"FF|FF","Strike","null","null"
"1114","Addison Reed",407781,"FF|FF","Strike","null","null"
"1115","Addison Reed",407781,"FF|FF","Hit","84.1","37.18"
"1119","Addison Reed",608070,"FC|FF","Strike","null","null"
"1127","Addison Reed",543401,"FF|FC","Strike","null","null"
"1130","Addison Reed",435063,"FF|FF","Hit","99.6","20.24"
"1131","Addison Reed",435063,"FF|FF","Foul","null","null"
"1134","Addison Reed",453400,"FF|FF","Hit","70.6","-24.38"
"1135","Addison Reed",453400,"FF|FF","Strike","null","null"
"1137","Addison Reed",453400,"FF|SL","Foul","null","null"
"1139","Addison Reed",588751,"FF|FF","Foul","null","37.72"
"1140","Addison Reed",588751,"FF|FF","Foul","null","71.27"
"1142","Addison Reed",588751,"SL|FF","Strike","null","null"
"1149","Addison Reed",429780,"FF|FF","Strike","null","null"
"1150","Addison Reed",429780,"FF|FF","Foul","null","null"
"1151","Addison Reed",429780,"FF|FF","Foul","null","null"
"1152","Addison Reed",429780,"FF|FF","Foul","null","null"
"1156","Addison Reed",542303,"FF|FF","Foul","null","null"
"1157","Addison Reed",542303,"FF|FF","Strike","null","null"
"1158","Addison Reed",542303,"FF|FF","Strike","null","null"
"1160","Addison Reed",592885,"FF|FF","Foul","null","null"
"1162","Addison Reed",592885,"SL|FF","Strike","null","null"
"1166","Addison Reed",520471,"SL|FF","Foul","null","null"
"1167","Addison Reed",520471,"FF|SL","Foul","null","null"
"1173","Addison Reed",596748,"SL|FF","Foul","null","15.04"
"1176","Addison Reed",429667,"SL|FF","Foul","null","41.84"
"1177","Addison Reed",429667,"FF|FF","Strike","null","null"
"1179","Addison Reed",429667,"SL|FC","Hit","90","41.84"
"1181","Addison Reed",434563,"FF|SL","Hit","null","null"
"1182","Addison Reed",434563,"SL|FF","Strike","null","null"
"1184","Addison Reed",434563,"SL|FF","Foul","null","32.92"
"1187","Addison Reed",444876,"FF|FF","Strike","null","null"
"1190","Addison Reed",444876,"SL|FF","Hit","91.8","44.65"
"1193","Addison Reed",519058,"FF|FF","Hit","110.2","0.35"
