"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"2","Nick Goody",444432,"SL|SL","In play, run(s)","104.5","23.38"
"88","Nick Goody",435063,"SL|SL","Swinging Strike","null","null"
"91","Nick Goody",435063,"FF|FF","Foul","null","null"
"94","Nick Goody",608070,"SL|FF","Foul","null","null"
"95","Nick Goody",608070,"FF|SL","Swinging Strike (Blocked)","null","null"
"96","Nick Goody",608070,"SL|FF","Called Strike","null","null"
"98","Nick Goody",435522,"SL|FF","Called Strike","null","null"
"99","Nick Goody",435522,"FF|FF","In play, out(s)","94.2","55.67"
"104","Nick Goody",570731,"FF|FF","Swinging Strike","null","null"
"107","Nick Goody",430945,"SL|FF","In play, out(s)","99.5","-4.02"
"110","Nick Goody",430945,"FF|FF","Foul","null","null"
"113","Nick Goody",592518,"FF|SL","Swinging Strike (Blocked)","null","null"
"115","Nick Goody",592518,"FF|SL","Swinging Strike","null","null"
"117","Nick Goody",444432,"SL|FF","Foul","null","null"
"118","Nick Goody",444432,"FF|FF","Foul","null","null"
"120","Nick Goody",444432,"SL|FF","Swinging Strike","null","null"
"122","Nick Goody",570731,"FF|SL","Swinging Strike","null","null"
"124","Nick Goody",570731,"SL|FF","Foul","null","null"
"127","Nick Goody",605141,"FF|FF","In play, out(s)","93","24.44"
"129","Nick Goody",456030,"FF|FF","Called Strike","null","null"
"130","Nick Goody",456030,"FF|FF","Called Strike","null","null"
"135","Nick Goody",593428,"FF|SL","Swinging Strike","null","null"
"136","Nick Goody",593428,"SL|FF","Foul","null","null"
"137","Nick Goody",593428,"FF|FF","Swinging Strike","null","null"
"139","Nick Goody",593428,"SL|SL","Called Strike","null","null"
"141","Nick Goody",518614,"SL|SL","Swinging Strike","null","null"
"143","Nick Goody",518614,"SL|SL","Called Strike","null","null"
"144","Nick Goody",518614,"SL|FF","Swinging Strike","null","null"
"148","Nick Goody",430605,"FF|FF","Called Strike","null","null"
"149","Nick Goody",430605,"FF|SL","Swinging Strike","null","null"
"151","Nick Goody",547172,"FF|FF","Called Strike","null","null"
"152","Nick Goody",547172,"FF|SL","Swinging Strike (Blocked)","null","null"
"154","Nick Goody",547172,"SL|FF","Foul","null","null"
"156","Nick Goody",453568,"FF|FF","Foul","null","null"
"158","Nick Goody",453568,"SL|FF","Foul","null","null"
"159","Nick Goody",453568,"FF|SL","Swinging Strike (Blocked)","null","null"
"160","Nick Goody",453568,"SL|FF","Called Strike","null","null"
"162","Nick Goody",453568,"SL|SL","Foul","null","null"
"165","Nick Goody",518934,"FF|FF","Foul","null","null"
"166","Nick Goody",518934,"FF|SL","In play, no out","67.4","7.42"
"167","Nick Goody",518934,"SL|FF","Called Strike","null","null"
"169","Nick Goody",571448,"FF|FF","Called Strike","null","null"
"171","Nick Goody",500871,"SL|FF","Called Strike","null","null"
"174","Nick Goody",596146,"FF|FF","In play, no out","109.2","7.68"
"178","Nick Goody",542454,"SL|SL","Called Strike","null","null"
"182","Nick Goody",435559,"FF|SL","In play, out(s)","49","-78.47"
"184","Nick Goody",435559,"SL|FF","Foul","null","null"
"187","Nick Goody",461858,"FF|SL","Foul","null","null"
"189","Nick Goody",461858,"FF|FF","Swinging Strike","null","null"
"192","Nick Goody",461858,"FF|FF","Foul","null","null"
"193","Nick Goody",461858,"FF|SL","In play, out(s)","100","43.24"
"197","Nick Goody",500871,"FF|FF","Swinging Strike","null","null"
"198","Nick Goody",500871,"FF|FF","Foul","null","null"
"199","Nick Goody",500871,"FF|SL","Foul","null","null"
"200","Nick Goody",500871,"SL|FF","Foul","null","null"
"201","Nick Goody",500871,"FF|SL","Foul","null","null"
"202","Nick Goody",500871,"SL|SL","Foul","null","null"
"203","Nick Goody",500871,"SL|FF","In play, run(s)","93.8","34.84"
"206","Nick Goody",596146,"SL|SL","In play, no out","106","3.73"
"207","Nick Goody",596146,"SL|SL","Called Strike","null","null"
"208","Nick Goody",596146,"SL|FF","Foul","null","null"
"212","Nick Goody",435559,"FF|FF","Called Strike","null","null"
"219","Nick Goody",430605,"FF|FF","Swinging Strike","null","null"
"220","Nick Goody",430605,"FF|SL","Swinging Strike","null","null"
"223","Nick Goody",448602,"FF|FF","Called Strike","null","null"
"226","Nick Goody",448602,"SL|SL","In play, out(s)","81.5","-15.46"
"228","Nick Goody",471865,"SL|SL","In play, out(s)","102.3","-22.12"
"229","Nick Goody",471865,"SL|SL","Swinging Strike","null","null"
"231","Nick Goody",502110,"FF|FF","Called Strike","null","null"
"232","Nick Goody",502110,"FF|SL","In play, no out","75.4","22.81"
"234","Nick Goody",592206,"FF|FF","Foul","null","null"
"235","Nick Goody",592206,"FF|FF","Called Strike","null","null"
"236","Nick Goody",592206,"FF|FF","Swinging Strike","null","null"
"240","Nick Goody",457708,"SL|SL","In play, out(s)","97.4","21.75"
"242","Nick Goody",457454,"FF|FF","Called Strike","null","null"
"243","Nick Goody",457454,"FF|FF","Swinging Strike","null","null"
"246","Nick Goody",400121,"FF|SL","Swinging Strike","null","null"
"249","Nick Goody",400121,"FF|SL","Swinging Strike","null","null"
"251","Nick Goody",502110,"SL|SL","In play, no out","97","9.31"
"253","Nick Goody",502110,"SL|FF","Foul","null","null"
"255","Nick Goody",592206,"SL|SL","Swinging Strike","null","null"
"256","Nick Goody",592206,"SL|FF","Called Strike","null","null"
"259","Nick Goody",457708,"FF|FF","Swinging Strike","null","null"
"260","Nick Goody",457708,"FF|FF","Called Strike","null","null"
"262","Nick Goody",545361,"FF|SL","Foul","null","null"
"264","Nick Goody",545361,"FF|FF","In play, run(s)","109.8","26.6"
"265","Nick Goody",545361,"FF|FF","Called Strike","null","null"
"268","Nick Goody",527043,"SL|SL","Swinging Strike","null","null"
"269","Nick Goody",527043,"SL|FF","Called Strike","null","null"
"272","Nick Goody",405395,"FF|SL","Swinging Strike","null","null"
"276","Nick Goody",475253,"SL|SL","In play, run(s)","99.8","12.3"
"277","Nick Goody",475253,"SL|FF","Foul","null","null"
"281","Nick Goody",431145,"FF|FF","In play, out(s)","104.2","5.62"
"282","Nick Goody",431145,"FF|FF","Called Strike","null","null"
"284","Nick Goody",581527,"SL|FF","Called Strike","null","null"
"285","Nick Goody",581527,"FF|FF","Called Strike","null","null"
"287","Nick Goody",581527,"FF|FF","Swinging Strike","null","null"
"289","Nick Goody",459431,"SL|SL","Foul","null","null"
"292","Nick Goody",459431,"FF|FF","Foul","null","null"
"293","Nick Goody",459431,"FF|SL","In play, run(s)","104.5","21.98"
"295","Nick Goody",572365,"FF|FF","In play, out(s)","null","null"
"297","Nick Goody",572365,"SL|FF","Swinging Strike","null","null"
"299","Nick Goody",430832,"SL|FF","Foul","null","null"
"301","Nick Goody",430832,"FF|FF","Called Strike","null","null"
"302","Nick Goody",430832,"FF|FF","Swinging Strike","null","null"
"304","Nick Goody",429665,"SL|FF","Called Strike","null","null"
"306","Nick Goody",429665,"FF|SL","Swinging Strike","null","null"
"309","Nick Goody",518626,"FF|FF","In play, out(s)","null","null"
"311","Nick Goody",456665,"SL|FF","Foul","null","null"
"313","Nick Goody",456665,"SL|SL","In play, out(s)","37","-3.63"
"316","Nick Goody",489149,"FF|SL","In play, no out","108.8","13.19"
"323","Nick Goody",475253,"FF|SL","In play, out(s)","95.6","20.94"
"324","Nick Goody",475253,"SL|FF","Swinging Strike","null","null"
"327","Nick Goody",431145,"SL|FF","Foul","null","null"
"328","Nick Goody",431145,"FF|SL","Foul","null","null"
"329","Nick Goody",431145,"SL|SL","In play, out(s)","100.4","33.62"
"330","Nick Goody",431145,"SL|SL","Called Strike","null","null"
"335","Nick Goody",430832,"SL|SL","Foul","null","null"
"336","Nick Goody",430832,"SL|SL","Called Strike","null","null"
"341","Nick Goody",518626,"FF|SL","Foul","null","null"
"344","Nick Goody",518626,"FF|SL","Called Strike","null","null"
"348","Nick Goody",429665,"FF|SL","In play, run(s)","95.3","-3.85"
"350","Nick Goody",459431,"FF|SL","In play, out(s)","null","null"
"352","Nick Goody",459431,"SL|SL","Foul","null","null"
"354","Nick Goody",607680,"FF|FF","Foul","null","null"
"355","Nick Goody",607680,"FF|FF","Called Strike","null","null"
"356","Nick Goody",607680,"FF|SL","In play, out(s)","82.6","58.36"
"359","Nick Goody",502143,"FF|FF","In play, out(s)","103.2","39.42"
"363","Nick Goody",519295,"SL|SL","In play, out(s)","94.6","5.27"
"367","Nick Goody",543760,"SL|FF","Called Strike","null","null"
"368","Nick Goody",543760,"FF|FF","Foul","null","null"
"370","Nick Goody",543760,"SL|FF","In play, out(s)","99.8","36.24"
"372","Nick Goody",458085,"SL|FF","In play, out(s)","null","null"
"373","Nick Goody",458085,"FF|FF","Foul","null","null"
"376","Nick Goody",458085,"SL|FF","Foul","null","null"
"377","Nick Goody",458085,"FF|SL","Foul","null","null"
"380","Nick Goody",473724,"SL|FF","Called Strike","null","null"
"382","Nick Goody",605113,"FF|FF","Foul","null","null"
"385","Nick Goody",592273,"SL|SL","In play, out(s)","92.2","24.63"
"387","Nick Goody",543302,"SL|SL","Foul","null","null"
"388","Nick Goody",543302,"SL|SL","Foul","null","null"
"389","Nick Goody",543302,"SL|SL","Called Strike","null","null"
"390","Nick Goody",543302,"SL|FF","Foul","null","null"
"391","Nick Goody",543302,"FF|SL","Foul","null","null"
"392","Nick Goody",543302,"SL|SL","In play, run(s)","98.4","32.95"
"394","Nick Goody",592662,"FF|SL","Foul","null","null"
"396","Nick Goody",516416,"FF|SL","Swinging Strike (Blocked)","null","null"
"398","Nick Goody",516416,"SL|SL","Swinging Strike","null","null"
"401","Nick Goody",547989,"SL|FF","Foul","null","null"
"404","Nick Goody",547989,"FF|SL","Foul","null","null"
"405","Nick Goody",547989,"SL|SL","In play, out(s)","79.3","41.68"
"407","Nick Goody",453943,"FF|FF","Foul","null","null"
"408","Nick Goody",453943,"FF|SL","In play, out(s)","90.7","18.95"
"409","Nick Goody",453943,"SL|FF","Called Strike","null","null"
"412","Nick Goody",543434,"FF|SL","Swinging Strike","null","null"
"413","Nick Goody",543434,"SL|SL","Called Strike","null","null"
"414","Nick Goody",543434,"SL|SL","Foul","null","null"
"419","Nick Goody",457706,"SL|SL","Foul","null","null"
"421","Nick Goody",457706,"FF|FF","Foul","null","null"
"422","Nick Goody",457706,"FF|SL","Swinging Strike","null","null"
"427","Nick Goody",276519,"FF|SL","In play, out(s)","null","null"
"429","Nick Goody",547989,"FF|FF","Swinging Strike","null","null"
"430","Nick Goody",547989,"FF|SL","Swinging Strike","null","null"
"433","Nick Goody",453943,"SL|FF","Called Strike","null","null"
"434","Nick Goody",453943,"FF|FF","In play, out(s)","96.2","41.24"
"436","Nick Goody",466320,"SL|SL","In play, out(s)","80.9","47.25"
"439","Nick Goody",444876,"FF|FF","Hit By Pitch","null","null"
"442","Nick Goody",456715,"SL|FF","Called Strike","null","null"
"443","Nick Goody",456715,"FF|FF","Foul","null","null"
"444","Nick Goody",456715,"FF|FF","Foul","null","null"
"445","Nick Goody",456715,"FF|SL","Foul","null","null"
"446","Nick Goody",456715,"SL|SL","In play, run(s)","109.3","5.01"
"448","Nick Goody",593428,"FF|SL","Swinging Strike (Blocked)","null","null"
"450","Nick Goody",593428,"FF|SL","Swinging Strike","null","null"
"452","Nick Goody",120074,"SL|FF","Foul","null","null"
"454","Nick Goody",434670,"SL|FF","Foul","null","null"
"455","Nick Goody",434670,"FF|SL","Foul","null","null"
"456","Nick Goody",434670,"SL|FF","Swinging Strike","null","null"
"458","Nick Goody",434670,"SL|SL","Swinging Strike","null","null"
"460","Nick Goody",598265,"SL|SL","In play, run(s)","null","null"
"461","Nick Goody",598265,"SL|SL","Called Strike","null","null"
"464","Nick Goody",605141,"FF|SL","Swinging Strike","null","null"
"465","Nick Goody",605141,"SL|FF","Called Strike","null","null"
"467","Nick Goody",605141,"FF|SL","Swinging Strike","null","null"
"469","Nick Goody",456030,"SL|SL","Swinging Strike (Blocked)","null","null"
"470","Nick Goody",456030,"SL|SL","Called Strike","null","null"
"471","Nick Goody",456030,"SL|FF","Foul","null","null"
"474","Nick Goody",455759,"SL|SL","Called Strike","null","null"
"475","Nick Goody",455759,"SL|FF","Called Strike","null","null"
"476","Nick Goody",455759,"FF|SL","In play, out(s)","85.9","59.31"
"479","Nick Goody",543768,"FF|SL","Foul","null","null"
"480","Nick Goody",543768,"SL|FF","Swinging Strike","null","null"
"481","Nick Goody",543768,"FF|FF","Foul","null","null"
"483","Nick Goody",543768,"FF|SL","Foul","null","null"
"485","Nick Goody",571788,"FF|FF","Called Strike","null","null"
"487","Nick Goody",543877,"SL|SL","Called Strike","null","null"
"491","Nick Goody",434670,"FF|SL","Foul","null","null"
"492","Nick Goody",434670,"SL|SL","In play, no out","86.2","9.49"
"493","Nick Goody",434670,"SL|SL","Called Strike","null","null"
"494","Nick Goody",434670,"SL|SL","Foul","null","null"
"498","Nick Goody",595281,"SL|FF","Called Strike","null","null"
"500","Nick Goody",595281,"FF|FF","Swinging Strike","null","null"
"502","Nick Goody",595281,"FF|SL","Swinging Strike (Blocked)","null","null"
"504","Nick Goody",592200,"FF|FF","In play, out(s)","106.3","17.18"
"506","Nick Goody",592200,"SL|FF","Called Strike","null","null"
"508","Nick Goody",523253,"FF|FF","Called Strike","null","null"
"510","Nick Goody",489149,"SL|SL","Swinging Strike","null","null"
"512","Nick Goody",489149,"FF|SL","Swinging Strike","null","null"
"515","Nick Goody",446334,"SL|SL","Swinging Strike","null","null"
"516","Nick Goody",446334,"SL|FF","Foul","null","null"
"519","Nick Goody",572816,"FF|SL","Swinging Strike","null","null"
"522","Nick Goody",572816,"FF|SL","Called Strike","null","null"
"525","Nick Goody",456665,"FF|SL","In play, out(s)","82.1","-20.24"
"527","Nick Goody",456665,"SL|SL","Swinging Strike","null","null"
"529","Nick Goody",543543,"SL|FF","Foul","null","null"
