"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"72","Tim Lincecum",493114,"CH|FT","Called Strike","null","null"
"74","Tim Lincecum",493114,"CH|CH","Swinging Strike","null","null"
"76","Tim Lincecum",452234,"FT|FT","Foul","null","null"
"77","Tim Lincecum",452234,"FT|CH","Foul","null","null"
"78","Tim Lincecum",452234,"CH|CH","In play, no out","84","11.16"
"79","Tim Lincecum",452234,"CH|FT","Called Strike","null","null"
"83","Tim Lincecum",443558,"CH|SL","Foul","null","null"
"85","Tim Lincecum",443558,"FT|CH","In play, no out","null","null"
"97","Tim Lincecum",593428,"CH|CH","Called Strike","null","null"
"100","Tim Lincecum",593428,"FT|CU","Swinging Strike (Blocked)","null","null"
"103","Tim Lincecum",120074,"CH|FT","In play, out(s)","100.1","40.36"
"105","Tim Lincecum",598265,"CU|CH","Foul","null","null"
"107","Tim Lincecum",598265,"CH|CH","Called Strike","null","null"
"109","Tim Lincecum",431094,"FF|CU","In play, out(s)","97.8","24"
"112","Tim Lincecum",452672,"FT|FF","In play, out(s)","93.2","28.45"
"114","Tim Lincecum",605141,"FT|FT","Foul","null","null"
"125","Tim Lincecum",593428,"CU|CU","Called Strike","null","null"
"126","Tim Lincecum",593428,"CU|FF","In play, run(s)","98.5","16.66"
"129","Tim Lincecum",120074,"CH|CH","In play, run(s)","92","16.68"
"138","Tim Lincecum",431094,"CU|FT","Called Strike","null","null"
"139","Tim Lincecum",431094,"FT|CH","Foul","null","null"
"140","Tim Lincecum",431094,"CH|CH","In play, no out","99.3","-6.85"
"144","Tim Lincecum",452672,"CH|CU","Foul","null","null"
"148","Tim Lincecum",571788,"CH|CH","In play, no out","84.5","8.37"
"152","Tim Lincecum",605141,"CH|FF","Called Strike","null","null"
"153","Tim Lincecum",605141,"FF|FT","In play, run(s)","93.2","31.13"
"156","Tim Lincecum",456030,"FF|CU","In play, out(s)","98.3","4.23"
"158","Tim Lincecum",593428,"CU|CU","In play, out(s)","93.7","19.83"
"160","Tim Lincecum",120074,"FT|FF","In play, out(s)","null","null"
"162","Tim Lincecum",434670,"CU|FF","Called Strike","null","null"
"163","Tim Lincecum",434670,"FF|CU","Foul","null","null"
"164","Tim Lincecum",434670,"CU|CU","Foul","null","null"
"166","Tim Lincecum",434670,"CH|CH","Foul","null","null"
"168","Tim Lincecum",598265,"CU|FT","Called Strike","null","null"
"170","Tim Lincecum",598265,"FT|CU","In play, run(s)","96.4","36.79"
"172","Tim Lincecum",434670,"CH|CH","In play, out(s)","null","null"
"176","Tim Lincecum",571788,"CU|FT","In play, out(s)","98.6","5.99"
"184","Tim Lincecum",503556,"CH|FT","In play, no out","93.5","6.01"
"186","Tim Lincecum",503556,"FT|FF","Called Strike","null","null"
"190","Tim Lincecum",621043,"CH|FF","In play, out(s)","84.6","54.65"
"191","Tim Lincecum",621043,"FF|CH","Called Strike","null","null"
"194","Tim Lincecum",472528,"SL|CH","Foul","null","null"
"196","Tim Lincecum",472528,"FT|SL","In play, run(s)","98.5","33.1"
"202","Tim Lincecum",460576,"FF|FT","Called Strike","null","null"
"204","Tim Lincecum",605512,"FF|FT","Foul","null","null"
"206","Tim Lincecum",543807,"FT|CH","Called Strike","null","null"
"208","Tim Lincecum",543807,"FT|CH","In play, run(s)","95","-1.02"
"210","Tim Lincecum",503556,"FT|FF","In play, out(s)","98.5","54.04"
"214","Tim Lincecum",514888,"FT|CH","In play, run(s)","101.8","19.78"
"215","Tim Lincecum",514888,"CH|CH","Foul","null","null"
"216","Tim Lincecum",514888,"CH|SL","Called Strike","null","null"
"218","Tim Lincecum",621043,"CH|SL","Foul","null","null"
"221","Tim Lincecum",621043,"CH|FF","In play, no out","109.7","16.71"
"223","Tim Lincecum",594828,"FT|FT","Called Strike","null","null"
"225","Tim Lincecum",594828,"FF|CH","In play, out(s)","null","null"
"228","Tim Lincecum",425783,"FF|FT","Foul","null","null"
"230","Tim Lincecum",425783,"CU|FT","Called Strike","null","null"
"232","Tim Lincecum",425783,"CH|FT","In play, out(s)","93.6","33.39"
"236","Tim Lincecum",596059,"FT|FT","In play, no out","106.4","9.49"
"243","Tim Lincecum",519048,"FF|CH","Foul","null","null"
"244","Tim Lincecum",519048,"CH|FT","Called Strike","null","null"
"245","Tim Lincecum",519048,"FT|CH","Swinging Strike","null","null"
"247","Tim Lincecum",607387,"CH|FT","Foul","null","null"
"249","Tim Lincecum",607387,"CH|SL","Swinging Strike (Blocked)","null","null"
"251","Tim Lincecum",607387,"CH|SL","Foul","null","null"
"252","Tim Lincecum",607387,"SL|FF","Foul","null","null"
"254","Tim Lincecum",608577,"FT|SL","In play, out(s)","72.6","-33.91"
"256","Tim Lincecum",608577,"FT|FT","Called Strike","null","null"
"257","Tim Lincecum",608577,"FT|CH","Foul","null","null"
"260","Tim Lincecum",455139,"CH|CH","In play, run(s)","100.1","30.81"
"261","Tim Lincecum",455139,"CH|FF","Called Strike","null","null"
"264","Tim Lincecum",425783,"SL|FT","Called Strike","null","null"
"265","Tim Lincecum",425783,"FT|FF","Called Strike","null","null"
"269","Tim Lincecum",435622,"FF|CH","In play, no out","108.9","4.76"
"274","Tim Lincecum",519048,"CH|CH","Called Strike","null","null"
"275","Tim Lincecum",519048,"CH|FT","Swinging Strike","null","null"
"277","Tim Lincecum",519048,"CH|FT","Called Strike","null","null"
"279","Tim Lincecum",607387,"SL|SL","Swinging Strike","null","null"
"281","Tim Lincecum",607387,"FF|SL","Swinging Strike (Blocked)","null","null"
"282","Tim Lincecum",607387,"SL|FF","Called Strike","null","null"
"285","Tim Lincecum",608577,"SL|FT","Called Strike","null","null"
"287","Tim Lincecum",462101,"CH|FF","In play, no out","102.7","13.6"
"292","Tim Lincecum",425783,"FT|CH","Called Strike","null","null"
"293","Tim Lincecum",425783,"CH|CH","Swinging Strike","null","null"
"299","Tim Lincecum",596059,"SL|CH","Swinging Strike (Blocked)","null","null"
"300","Tim Lincecum",596059,"CH|CH","Swinging Strike","null","null"
"302","Tim Lincecum",596059,"CH|CH","Swinging Strike","null","null"
"303","Tim Lincecum",596059,"CH|SL","Foul","null","null"
"306","Tim Lincecum",134181,"CH|CH","Swinging Strike","null","null"
"307","Tim Lincecum",134181,"CH|CH","Called Strike","null","null"
"313","Tim Lincecum",608577,"CH|FT","In play, run(s)","109.5","12.28"
"314","Tim Lincecum",608577,"FT|CH","Called Strike","null","null"
"319","Tim Lincecum",430945,"FT|CU","In play, no out","106.9","13.8"
"320","Tim Lincecum",430945,"CU|CH","Called Strike","null","null"
"321","Tim Lincecum",430945,"CH|CH","Foul","null","null"
"323","Tim Lincecum",547957,"CH|CU","In play, out(s)","null","null"
"324","Tim Lincecum",547957,"CU|FT","Foul","null","null"
"328","Tim Lincecum",592518,"SL|FT","In play, out(s)","86.6","-38.59"
"333","Tim Lincecum",448801,"FT|FT","Called Strike","null","null"
"334","Tim Lincecum",448801,"FT|CH","Called Strike","null","null"
"335","Tim Lincecum",448801,"CH|CH","Swinging Strike","null","null"
"338","Tim Lincecum",446308,"FT|CU","Foul","null","null"
"340","Tim Lincecum",446308,"FT|SL","Foul","null","null"
"341","Tim Lincecum",446308,"SL|FF","Foul","null","null"
"343","Tim Lincecum",446308,"CH|CU","Swinging Strike","null","null"
"344","Tim Lincecum",446308,"CU|SL","Foul","null","null"
"346","Tim Lincecum",446308,"FT|CH","In play, out(s)","97.7","8.04"
"348","Tim Lincecum",570731,"CH|CH","In play, no out","99.2","3.41"
"349","Tim Lincecum",570731,"CH|FT","Called Strike","null","null"
"350","Tim Lincecum",570731,"FT|CH","Swinging Strike","null","null"
"352","Tim Lincecum",476883,"SL|FT","Foul","null","null"
"353","Tim Lincecum",476883,"FT|FT","In play, out(s)","113.8","8.62"
"357","Tim Lincecum",429666,"CH|FT","Called Strike","null","null"
"363","Tim Lincecum",430945,"CH|FT","Called Strike","null","null"
"367","Tim Lincecum",448801,"FT|FT","Foul","null","null"
"369","Tim Lincecum",448801,"CH|FT","In play, run(s)","107.7","30.88"
"372","Tim Lincecum",446308,"CH|CH","Foul","null","null"
"373","Tim Lincecum",446308,"CH|CH","Foul","null","null"
"374","Tim Lincecum",446308,"CH|CH","In play, out(s)","80.8","-17.62"
"376","Tim Lincecum",570731,"CH|CH","Swinging Strike","null","null"
"378","Tim Lincecum",476883,"CH|CH","In play, no out","110.4","8.7"
"382","Tim Lincecum",429666,"CH|CH","Called Strike","null","null"
"383","Tim Lincecum",429666,"CH|FF","Called Strike","null","null"
"386","Tim Lincecum",430945,"FF|CH","In play, no out","97.3","7.69"
"390","Tim Lincecum",592518,"CH|FT","Foul","null","null"
"391","Tim Lincecum",592518,"FT|FT","In play, out(s)","77.1","53.82"
"393","Tim Lincecum",444432,"CU|CH","Swinging Strike","null","null"
"398","Tim Lincecum",446308,"CU|FT","Swinging Strike","null","null"
"399","Tim Lincecum",446308,"FT|FT","Called Strike","null","null"
"402","Tim Lincecum",570731,"CH|CH","Swinging Strike","null","null"
"403","Tim Lincecum",570731,"CH|CH","Foul","null","null"
"404","Tim Lincecum",570731,"CH|FT","Swinging Strike","null","null"
"410","Tim Lincecum",572073,"SL|SL","In play, no out","75.2","-0.59"
"411","Tim Lincecum",572073,"SL|FT","Called Strike","null","null"
"412","Tim Lincecum",572073,"FT|FT","Foul","null","null"
"415","Tim Lincecum",448801,"CH|CH","In play, out(s)","88.8","42.07"
"416","Tim Lincecum",448801,"CH|FT","Called Strike","null","null"
"422","Tim Lincecum",523253,"FT|FT","In play, no out","107.1","12.2"
"423","Tim Lincecum",523253,"FT|FF","Called Strike","null","null"
"427","Tim Lincecum",543543,"FT|CH","Swinging Strike","null","null"
"429","Tim Lincecum",543543,"FT|CH","Swinging Strike","null","null"
"431","Tim Lincecum",446334,"FF|FF","In play, no out","89.9","-9.39"
"434","Tim Lincecum",572816,"FT|FF","Swinging Strike","null","null"
"435","Tim Lincecum",572816,"FF|FT","Foul","null","null"
"437","Tim Lincecum",572816,"CH|FT","Swinging Strike","null","null"
"438","Tim Lincecum",572816,"FT|FF","Swinging Strike","null","null"
"440","Tim Lincecum",545338,"CU|CH","Foul","null","null"
"441","Tim Lincecum",545338,"CH|FF","In play, no out","98.3","8.09"
"445","Tim Lincecum",542455,"FF|CH","Foul","null","null"
"446","Tim Lincecum",542455,"CH|CH","Swinging Strike","null","null"
"448","Tim Lincecum",542455,"CH|FT","Called Strike","null","null"
"449","Tim Lincecum",542455,"FT|SL","Foul","null","null"
"451","Tim Lincecum",474233,"CH|CH","Foul","null","null"
"452","Tim Lincecum",474233,"CH|CH","Swinging Strike","null","null"
"454","Tim Lincecum",474233,"CH|CH","Swinging Strike","null","null"
"455","Tim Lincecum",474233,"CH|CH","Foul","null","null"
"457","Tim Lincecum",523253,"SL|SL","Called Strike","null","null"
"458","Tim Lincecum",523253,"SL|CH","In play, out(s)","null","null"
"460","Tim Lincecum",543543,"SL|SL","Foul","null","null"
"461","Tim Lincecum",543543,"SL|CH","Foul","null","null"
"464","Tim Lincecum",543543,"FF|CH","In play, out(s)","null","null"
"466","Tim Lincecum",446334,"CU|FT","Foul","null","null"
"467","Tim Lincecum",446334,"FT|CH","In play, out(s)","null","null"
"468","Tim Lincecum",446334,"CH|CH","Called Strike","null","null"
"472","Tim Lincecum",519306,"CH|SL","In play, no out","87.6","31.64"
"476","Tim Lincecum",545338,"CH|FT","Called Strike","null","null"
"478","Tim Lincecum",545338,"CH|CH","In play, no out","99.7","3.79"
"481","Tim Lincecum",542455,"CH|CU","Foul","null","null"
"484","Tim Lincecum",542455,"FF|CH","Swinging Strike","null","null"
"485","Tim Lincecum",542455,"CH|CU","Foul","null","null"
"488","Tim Lincecum",474233,"CH|FF","Called Strike","null","null"
"490","Tim Lincecum",474233,"CU|FF","In play, out(s)","78.6","-27.18"
"496","Tim Lincecum",446334,"SL|CH","Swinging Strike","null","null"
"498","Tim Lincecum",446334,"FF|CH","Swinging Strike","null","null"
"500","Tim Lincecum",489149,"FT|CH","In play, out(s)","96.4","20.73"
"501","Tim Lincecum",489149,"CH|CH","Swinging Strike","null","null"
"503","Tim Lincecum",446386,"CU|CH","Hit By Pitch","null","null"
"509","Tim Lincecum",572816,"FF|FF","Called Strike","null","null"
"510","Tim Lincecum",572816,"FF|FF","In play, run(s)","null","null"
"513","Tim Lincecum",543543,"CH|CH","Foul","null","null"
"516","Tim Lincecum",489149,"CH|CH","Called Strike","null","null"
"517","Tim Lincecum",489149,"CH|FF","Foul","null","null"
"518","Tim Lincecum",489149,"FF|CH","In play, out(s)","101.6","-1.62"
"523","Tim Lincecum",519306,"CH|CH","Foul","null","null"
"524","Tim Lincecum",519306,"CH|CH","In play, run(s)","89","-15.79"
"531","Tim Lincecum",472528,"CH|FT","Called Strike","null","null"
"532","Tim Lincecum",472528,"FT|CH","Foul","null","null"
"533","Tim Lincecum",472528,"CH|CH","Called Strike","null","null"
"539","Tim Lincecum",458675,"CH|FT","Called Strike","null","null"
"540","Tim Lincecum",458675,"FT|FT","Swinging Strike","null","null"
"542","Tim Lincecum",503556,"FT|FT","Called Strike","null","null"
"543","Tim Lincecum",503556,"FT|CU","Swinging Strike (Blocked)","null","null"
"545","Tim Lincecum",503556,"CH|FT","Called Strike","null","null"
"547","Tim Lincecum",460576,"CH|CH","Foul","null","null"
"550","Tim Lincecum",460576,"CH|FT","Called Strike","null","null"
"551","Tim Lincecum",460576,"FT|FT","In play, out(s)","94.1","8.3"
"553","Tim Lincecum",488771,"FT|CH","Swinging Strike","null","null"
"555","Tim Lincecum",488771,"FT|CU","Called Strike","null","null"
"559","Tim Lincecum",543807,"FT|FT","In play, out(s)","101.1","-8.19"
"561","Tim Lincecum",472528,"CH|CH","Swinging Strike","null","null"
"562","Tim Lincecum",472528,"CH|CU","Called Strike","null","null"
"566","Tim Lincecum",621043,"SL|FT","Called Strike","null","null"
"568","Tim Lincecum",621043,"FT|CH","In play, no out","78.9","26.07"
"570","Tim Lincecum",458675,"CH|FT","In play, out(s)","90","58.16"
"574","Tim Lincecum",594828,"CH|CH","Foul","null","null"
"575","Tim Lincecum",594828,"CH|CH","Swinging Strike","null","null"
"576","Tim Lincecum",594828,"CH|CH","Foul","null","null"
"579","Tim Lincecum",488771,"CH|CH","Swinging Strike","null","null"
"582","Tim Lincecum",488771,"CH|CH","Swinging Strike","null","null"
"586","Tim Lincecum",543807,"FF|FT","Called Strike","null","null"
"590","Tim Lincecum",472528,"FT|CH","Foul","null","null"
"591","Tim Lincecum",472528,"CH|FT","Foul (Runner Going)","null","null"
"592","Tim Lincecum",472528,"FT|CH","Foul (Runner Going)","null","null"
"594","Tim Lincecum",472528,"FT|FT","Foul","null","null"
"596","Tim Lincecum",472528,"FT|CH","In play, out(s)","93.5","-4.65"
"598","Tim Lincecum",514888,"CU|FF","In play, out(s)","105.2","14.73"
"599","Tim Lincecum",514888,"FF|CU","Swinging Strike","null","null"
"600","Tim Lincecum",514888,"CU|CU","Foul","null","null"
"603","Tim Lincecum",621043,"FT|CH","Swinging Strike","null","null"
"605","Tim Lincecum",621043,"CH|CH","Called Strike","null","null"
"609","Tim Lincecum",458675,"CH|FT","Foul","null","null"
"611","Tim Lincecum",458675,"FT|CH","Foul (Runner Going)","null","null"
"612","Tim Lincecum",458675,"CH|FT","Swinging Strike","null","null"
"614","Tim Lincecum",458675,"CH|CH","Foul","null","null"
"615","Tim Lincecum",458675,"CH|CH","In play, no out","85.6","4.57"
"617","Tim Lincecum",514888,"CH|SL","In play, out(s)","54.1","38.67"
"618","Tim Lincecum",514888,"SL|CU","Called Strike","null","null"
"621","Tim Lincecum",621043,"FF|FT","In play, run(s)","105.1","23.65"
"627","Tim Lincecum",570489,"FT|CH","Swinging Strike","null","null"
"628","Tim Lincecum",570489,"CH|CH","Swinging Strike","null","null"
"631","Tim Lincecum",424825,"CH|CH","Foul","null","null"
"632","Tim Lincecum",424825,"CH|CH","In play, out(s)","88.1","9.65"
"634","Tim Lincecum",424825,"FT|FT","Called Strike","null","null"
"636","Tim Lincecum",570489,"FT|CU","In play, out(s)","74","-4.87"
"637","Tim Lincecum",570489,"CU|FT","Called Strike","null","null"
"640","Tim Lincecum",476704,"FT|CH","In play, no out","57.6","-12.64"
"642","Tim Lincecum",476704,"FT|FT","Foul","null","null"
"643","Tim Lincecum",476704,"FT|CH","Foul","null","null"
"645","Tim Lincecum",519390,"FT|FT","Called Strike","null","null"
"646","Tim Lincecum",519390,"FT|FT","In play, no out","96.5","3.1"
"651","Tim Lincecum",502143,"FF|FT","Foul","null","null"
"655","Tim Lincecum",502143,"CH|FT","Called Strike","null","null"
"659","Tim Lincecum",501981,"CH|CH","Swinging Strike","null","null"
"661","Tim Lincecum",501981,"FF|FT","Called Strike","null","null"
"662","Tim Lincecum",501981,"FT|FT","Foul","null","null"
"663","Tim Lincecum",501981,"FT|FF","Foul","null","null"
"665","Tim Lincecum",476704,"CU|FT","Called Strike","null","null"
"666","Tim Lincecum",476704,"FT|FT","Called Strike","null","null"
"671","Tim Lincecum",543760,"CH|CH","Foul","null","null"
"673","Tim Lincecum",543760,"FF|CH","Foul","null","null"
"674","Tim Lincecum",543760,"CH|FF","In play, out(s)","68.4","-31.38"
"676","Tim Lincecum",501981,"FF|FT","Foul","null","null"
"677","Tim Lincecum",501981,"FT|FT","In play, out(s)","82.2","-27.66"
"679","Tim Lincecum",501981,"FF|CH","Swinging Strike","null","null"
"681","Tim Lincecum",519390,"FT|FT","Foul","null","null"
"682","Tim Lincecum",519390,"FT|CH","In play, run(s)","62.4","52.05"
"684","Tim Lincecum",519390,"FT|FT","Foul","null","null"
"685","Tim Lincecum",519390,"FT|CU","Foul","null","null"
"690","Tim Lincecum",475174,"FT|FT","In play, out(s)","89.1","36.23"
"691","Tim Lincecum",475174,"FT|CH","Swinging Strike","null","null"
"695","Tim Lincecum",543760,"CH|CH","Called Strike","null","null"
"697","Tim Lincecum",424825,"CU|CH","Swinging Strike","null","null"
"698","Tim Lincecum",424825,"CH|FT","Called Strike","null","null"
"699","Tim Lincecum",424825,"FT|FT","In play, no out","78","20.94"
"701","Tim Lincecum",502143,"FT|FT","In play, no out","99.4","9.04"
"702","Tim Lincecum",502143,"FT|CH","Swinging Strike","null","null"
"704","Tim Lincecum",475174,"FT|CH","In play, no out","71.1","33.05"
"706","Tim Lincecum",571970,"CH|CH","Swinging Strike (Blocked)","null","null"
"707","Tim Lincecum",571970,"CH|CH","In play, no out","96.3","1.89"
"708","Tim Lincecum",571970,"CH|FT","Called Strike","null","null"
"712","Tim Lincecum",542993,"FT|CH","In play, out(s)","83.7","17.82"
"714","Tim Lincecum",424825,"CH|FT","Called Strike","null","null"
"715","Tim Lincecum",424825,"FT|CH","In play, out(s)","90.8","4.8"
"717","Tim Lincecum",502143,"FF|SL","Called Strike","null","null"
"718","Tim Lincecum",502143,"SL|CH","Swinging Strike","null","null"
"720","Tim Lincecum",501981,"FF|CH","Foul","null","null"
"721","Tim Lincecum",501981,"CH|FF","In play, out(s)","89.6","42.42"
"723","Tim Lincecum",501981,"SL|SL","Swinging Strike","null","null"
"724","Tim Lincecum",501981,"SL|FF","Called Strike","null","null"
"726","Tim Lincecum",476704,"FF|CH","In play, no out","92.2","15.91"
"727","Tim Lincecum",476704,"CH|FF","Called Strike","null","null"
"728","Tim Lincecum",476704,"FF|FT","Foul","null","null"
"729","Tim Lincecum",476704,"FT|FF","Foul","null","null"
"733","Tim Lincecum",572033,"CH|SL","Called Strike","null","null"
"734","Tim Lincecum",572033,"SL|CH","In play, out(s)","67.8","-11.12"
"736","Tim Lincecum",543760,"FT|FT","Foul","null","null"
"739","Tim Lincecum",543760,"CU|CH","In play, out(s)","74.5","-34.11"
"744","Tim Lincecum",424825,"CH|CH","Swinging Strike","null","null"
"745","Tim Lincecum",424825,"CH|CH","Called Strike","null","null"
"753","Tim Lincecum",502143,"FF|FF","In play, run(s)","82.7","11.95"
"756","Tim Lincecum",501981,"SL|SL","Swinging Strike","null","null"
"757","Tim Lincecum",501981,"SL|FF","Hit By Pitch","null","null"
"760","Tim Lincecum",572033,"FF|FF","In play, out(s)","64.9","50.16"
"763","Tim Lincecum",543760,"FT|FF","In play, out(s)","85.9","57.26"
"765","Tim Lincecum",542993,"FT|FT","Foul","null","null"
"766","Tim Lincecum",542993,"FT|SL","In play, out(s)","93.8","-15.94"
"768","Tim Lincecum",542993,"CH|FT","Foul","null","null"
"773","Tim Lincecum",519390,"CH|CH","Foul","null","null"
"774","Tim Lincecum",519390,"CH|FT","Called Strike","null","null"
"775","Tim Lincecum",519390,"FT|FT","Foul","null","null"
"776","Tim Lincecum",519390,"FT|CH","In play, out(s)","90.2","28.34"
"781","Tim Lincecum",502143,"FT|FT","Called Strike","null","null"
"784","Tim Lincecum",501981,"SL|CH","Swinging Strike","null","null"
"786","Tim Lincecum",501981,"FF|FF","In play, out(s)","72.9","-11.37"
"788","Tim Lincecum",476704,"FT|CH","In play, out(s)","80.3","-11.4"
"789","Tim Lincecum",476704,"CH|FF","Swinging Strike","null","null"
"792","Tim Lincecum",475174,"CH|FF","In play, out(s)","105.1","-3.31"
"793","Tim Lincecum",475174,"FF|SL","Called Strike","null","null"
"794","Tim Lincecum",475174,"SL|FF","Foul","null","null"
"795","Tim Lincecum",475174,"FF|FF","Called Strike","null","null"
"796","Tim Lincecum",475174,"FF|CH","Foul","null","null"
"797","Tim Lincecum",475174,"CH|FF","Foul","null","null"
"798","Tim Lincecum",475174,"FF|CH","In play, out(s)","48.4","-38.03"
"800","Tim Lincecum",519390,"FT|CH","Called Strike","null","null"
"802","Tim Lincecum",519390,"FT|FF","Foul","null","null"
"803","Tim Lincecum",519390,"FF|CH","Foul","null","null"
"806","Tim Lincecum",519390,"CH|FF","In play, no out","100.5","27.77"
