"","player_name","batter","pitch_seq","description","hit_speed","hit_angle"
"61","Kevin Quackenbush",456078,"FF|FF","In play, out(s)","95.9","21.23"
"63","Kevin Quackenbush",456078,"FF|CU","Called Strike","null","null"
"66","Kevin Quackenbush",502671,"FF|CU","Called Strike","null","null"
"68","Kevin Quackenbush",502671,"FF|CU","In play, out(s)","104.4","3.37"
"70","Kevin Quackenbush",630111,"FF|FF","In play, no out","104.2","0.32"
"72","Kevin Quackenbush",630111,"FF|FF","Called Strike","null","null"
"75","Kevin Quackenbush",592273,"CU|CU","In play, out(s)","100.7","8.65"
"77","Kevin Quackenbush",571745,"FF|FF","In play, out(s)","100","13.83"
"78","Kevin Quackenbush",571745,"FF|CU","Called Strike","null","null"
"80","Kevin Quackenbush",456078,"FF|FF","Foul","null","null"
"81","Kevin Quackenbush",456078,"FF|FF","Foul","null","null"
"83","Kevin Quackenbush",456078,"CU|CU","Foul","null","null"
"86","Kevin Quackenbush",456078,"SL|FF","In play, out(s)","76.6","39.53"
"89","Kevin Quackenbush",471865,"FF|FF","In play, no out","null","null"
"94","Kevin Quackenbush",621311,"CU|FF","In play, out(s)","81.5","47.42"
"97","Kevin Quackenbush",606132,"FF|CU","Swinging Strike (Blocked)","null","null"
"99","Kevin Quackenbush",606132,"CU|FF","Foul","null","null"
"100","Kevin Quackenbush",606132,"FF|FF","In play, out(s)","77.3","-15.59"
"105","Kevin Quackenbush",453568,"FF|CU","In play, out(s)","92.9","44.59"
"107","Kevin Quackenbush",467827,"FF|FF","Swinging Strike","null","null"
"108","Kevin Quackenbush",467827,"FF|CU","In play, out(s)","53.1","-68.57"
"111","Kevin Quackenbush",518614,"SL|FF","In play, out(s)","93.4","-1.03"
"113","Kevin Quackenbush",457763,"FF|FF","Called Strike","null","null"
"115","Kevin Quackenbush",457763,"SL|FF","Called Strike","null","null"
"116","Kevin Quackenbush",457763,"FF|FF","In play, out(s)","61.6","-27.99"
"118","Kevin Quackenbush",452254,"FF|FF","Called Strike","null","null"
"119","Kevin Quackenbush",452254,"FF|CU","Called Strike","null","null"
"120","Kevin Quackenbush",452254,"CU|FF","Swinging Strike","null","null"
"125","Kevin Quackenbush",448602,"SL|SL","In play, run(s)","99.9","21.95"
"127","Kevin Quackenbush",448602,"CU|FF","Called Strike","null","null"
"129","Kevin Quackenbush",448602,"CU|FF","Called Strike","null","null"
"131","Kevin Quackenbush",460026,"FF|FF","Called Strike","null","null"
"132","Kevin Quackenbush",460026,"FF|FF","Called Strike","null","null"
"133","Kevin Quackenbush",460026,"FF|CU","Swinging Strike","null","null"
"135","Kevin Quackenbush",518614,"CU|FF","In play, no out","92.7","29.48"
"137","Kevin Quackenbush",448602,"SL|FF","Called Strike","null","null"
"139","Kevin Quackenbush",448602,"FF|FF","Swinging Strike","null","null"
"143","Kevin Quackenbush",518614,"FF|CU","Swinging Strike (Blocked)","null","null"
"145","Kevin Quackenbush",518614,"CU|FF","Foul","null","null"
"149","Kevin Quackenbush",606132,"FF|FF","In play, out(s)","84.6","44.77"
"151","Kevin Quackenbush",621311,"FF|CH","In play, out(s)","82.1","27.91"
"153","Kevin Quackenbush",547172,"CU|FF","Called Strike","null","null"
"154","Kevin Quackenbush",547172,"FF|FF","In play, no out","98.3","2.53"
"156","Kevin Quackenbush",547172,"CU|FF","Called Strike","null","null"
"159","Kevin Quackenbush",598265,"FF|FF","Called Strike","null","null"
"160","Kevin Quackenbush",598265,"FF|FF","Called Strike","null","null"
"161","Kevin Quackenbush",598265,"FF|SL","Foul","null","null"
"163","Kevin Quackenbush",598265,"FF|CU","In play, out(s)","97.2","8.62"
"165","Kevin Quackenbush",543768,"CU|FF","Foul","null","null"
"167","Kevin Quackenbush",543768,"SL|CU","Called Strike","null","null"
"169","Kevin Quackenbush",543768,"FF|CU","Foul","null","null"
"172","Kevin Quackenbush",456034,"FF|FF","Foul","null","null"
"173","Kevin Quackenbush",456034,"FF|CU","Foul","null","null"
"174","Kevin Quackenbush",456034,"CU|FF","Called Strike","null","null"
"175","Kevin Quackenbush",456034,"FF|FF","Foul","null","null"
"177","Kevin Quackenbush",456030,"CU|CU","In play, out(s)","63.4","-42.59"
"178","Kevin Quackenbush",456030,"CU|FF","Called Strike","null","null"
"182","Kevin Quackenbush",605141,"FF|FF","Called Strike","null","null"
"183","Kevin Quackenbush",605141,"FF|FF","In play, out(s)","null","null"
"188","Kevin Quackenbush",455759,"FF|CU","Called Strike","null","null"
"189","Kevin Quackenbush",455759,"CU|FF","Called Strike","null","null"
"190","Kevin Quackenbush",455759,"FF|FF","In play, out(s)","91.9","18.4"
"194","Kevin Quackenbush",593428,"CU|SL","Called Strike","null","null"
"195","Kevin Quackenbush",593428,"SL|SL","Foul","null","null"
"196","Kevin Quackenbush",593428,"SL|FF","In play, out(s)","null","null"
"202","Kevin Quackenbush",518735,"CU|FF","Called Strike","null","null"
"203","Kevin Quackenbush",518735,"FF|CU","In play, run(s)","79","0.58"
"205","Kevin Quackenbush",400284,"CH|FF","Called Strike","null","null"
"206","Kevin Quackenbush",400284,"FF|FF","In play, run(s)","96.8","-5.59"
"207","Kevin Quackenbush",400284,"FF|FF","Foul","null","null"
"209","Kevin Quackenbush",400284,"CU|FF","Foul","null","null"
"216","Kevin Quackenbush",493596,"SL|CU","Swinging Strike","null","null"
"218","Kevin Quackenbush",493596,"FF|SL","Foul","null","null"
"219","Kevin Quackenbush",493596,"SL|FF","In play, run(s)","101.6","10.75"
"221","Kevin Quackenbush",542255,"CU|FF","Called Strike","null","null"
"222","Kevin Quackenbush",542255,"FF|CU","Foul","null","null"
"223","Kevin Quackenbush",542255,"CU|FF","In play, run(s)","87.4","13.49"
"225","Kevin Quackenbush",611177,"FF|SL","In play, out(s)","75.4","4.78"
"227","Kevin Quackenbush",607054,"FF|FF","Called Strike","null","null"
"229","Kevin Quackenbush",607054,"CU|FF","In play, out(s)","107.1","-5.71"
"231","Kevin Quackenbush",400085,"FF|FF","Swinging Strike","null","null"
"232","Kevin Quackenbush",400085,"FF|FF","Foul","null","null"
"233","Kevin Quackenbush",400085,"FF|FF","Foul","null","null"
"235","Kevin Quackenbush",400085,"CU|FF","Called Strike","null","null"
"236","Kevin Quackenbush",400085,"FF|FF","In play, out(s)","69.7","44.53"
"238","Kevin Quackenbush",592663,"FF|FF","Swinging Strike","null","null"
"239","Kevin Quackenbush",592663,"FF|FF","Foul","null","null"
"242","Kevin Quackenbush",592663,"SL|FF","Swinging Strike","null","null"
"244","Kevin Quackenbush",588751,"SL|CU","Called Strike","null","null"
"245","Kevin Quackenbush",588751,"CU|SL","Foul","null","null"
"246","Kevin Quackenbush",588751,"SL|FF","Foul","null","null"
"247","Kevin Quackenbush",588751,"FF|SL","Foul","null","null"
"249","Kevin Quackenbush",543829,"CU|FF","Foul","null","null"
"250","Kevin Quackenbush",543829,"FF|FF","Called Strike","null","null"
"252","Kevin Quackenbush",543829,"CU|CU","Foul","null","null"
"253","Kevin Quackenbush",543829,"CU|FF","In play, out(s)","77.4","22.28"
"257","Kevin Quackenbush",425796,"FF|FF","Foul","null","null"
"258","Kevin Quackenbush",425796,"FF|FF","Called Strike","null","null"
"261","Kevin Quackenbush",435180,"FF|SL","Foul","null","null"
"263","Kevin Quackenbush",435180,"FF|FF","Foul","null","null"
"264","Kevin Quackenbush",435180,"FF|CU","Foul","null","null"
"266","Kevin Quackenbush",435180,"SL|FF","In play, out(s)","71.7","34.66"
"271","Kevin Quackenbush",588751,"FF|FF","In play, out(s)","86.5","38.88"
"274","Kevin Quackenbush",450314,"CU|FF","In play, out(s)","87.5","23.99"
"275","Kevin Quackenbush",450314,"FF|FF","Called Strike","null","null"
"279","Kevin Quackenbush",518792,"FF|FF","In play, no out","100.5","23.29"
"281","Kevin Quackenbush",595879,"FF|CU","In play, out(s)","92.4","-3.5"
"284","Kevin Quackenbush",630111,"CU|FF","Swinging Strike","null","null"
"285","Kevin Quackenbush",630111,"FF|CU","Swinging Strike","null","null"
"287","Kevin Quackenbush",572008,"FF|CU","Called Strike","null","null"
"288","Kevin Quackenbush",572008,"CU|CU","Called Strike","null","null"
"289","Kevin Quackenbush",572008,"CU|SL","Called Strike","null","null"
"291","Kevin Quackenbush",456422,"CU|FF","Foul","null","null"
"292","Kevin Quackenbush",456422,"FF|FF","Foul","null","null"
"293","Kevin Quackenbush",456422,"FF|CU","Foul","null","null"
"295","Kevin Quackenbush",456422,"FF|FF","Swinging Strike","null","null"
"297","Kevin Quackenbush",456422,"CU|FF","Foul","null","null"
"298","Kevin Quackenbush",456422,"FF|CU","Swinging Strike","null","null"
"300","Kevin Quackenbush",630111,"CU|CU","Called Strike","null","null"
"301","Kevin Quackenbush",630111,"CU|FF","In play, out(s)","41.4","0.18"
"303","Kevin Quackenbush",516416,"SL|FF","Called Strike","null","null"
"304","Kevin Quackenbush",516416,"FF|FF","In play, no out","68","43.28"
"311","Kevin Quackenbush",456078,"FF|FF","Swinging Strike","null","null"
"312","Kevin Quackenbush",456078,"FF|SL","Swinging Strike","null","null"
"316","Kevin Quackenbush",572008,"CU|FF","Swinging Strike","null","null"
"317","Kevin Quackenbush",572008,"FF|CU","Swinging Strike","null","null"
"319","Kevin Quackenbush",594838,"FF|CU","Called Strike","null","null"
"320","Kevin Quackenbush",594838,"CU|CU","In play, no out","84.8","9.6"
"322","Kevin Quackenbush",456422,"FF|CU","Called Strike","null","null"
"323","Kevin Quackenbush",456422,"CU|CU","Swinging Strike","null","null"
"324","Kevin Quackenbush",456422,"CU|CU","Swinging Strike (Blocked)","null","null"
"330","Kevin Quackenbush",571875,"FF|FF","Foul","null","null"
"332","Kevin Quackenbush",571875,"FF|FF","Swinging Strike","null","null"
"335","Kevin Quackenbush",571875,"FF|FF","Foul","null","null"
"336","Kevin Quackenbush",571875,"FF|FF","Foul (Runner Going)","null","null"
"338","Kevin Quackenbush",457787,"FF|FF","Foul","null","null"
"340","Kevin Quackenbush",457787,"FF|FF","Called Strike","null","null"
"341","Kevin Quackenbush",457787,"FF|FF","Swinging Strike","null","null"
"343","Kevin Quackenbush",452220,"FF|FF","Foul","null","null"
"344","Kevin Quackenbush",452220,"FF|CU","In play, run(s)","93.7","26.16"
"346","Kevin Quackenbush",452220,"FF|FF","Foul","null","null"
"348","Kevin Quackenbush",543685,"SL|CU","Called Strike","null","null"
"349","Kevin Quackenbush",543685,"CU|CU","In play, no out","105.8","14.13"
"352","Kevin Quackenbush",425877,"FF|FF","Called Strike","null","null"
"354","Kevin Quackenbush",425877,"SL|FF","In play, out(s)","95.6","33.52"
"356","Kevin Quackenbush",545341,"FF|CU","Called Strike","null","null"
"357","Kevin Quackenbush",545341,"CU|FF","Foul","null","null"
"360","Kevin Quackenbush",502054,"CH|CU","In play, no out","101","19.54"
"361","Kevin Quackenbush",502054,"CU|CU","Called Strike","null","null"
"363","Kevin Quackenbush",594824,"FF|FF","Called Strike","null","null"
"364","Kevin Quackenbush",594824,"FF|CU","In play, out(s)","77.4","-5.12"
"366","Kevin Quackenbush",571431,"FF|FF","Foul","null","null"
"367","Kevin Quackenbush",571431,"FF|FF","Called Strike","null","null"
"370","Kevin Quackenbush",571431,"FF|FF","Foul","null","null"
"373","Kevin Quackenbush",502054,"CU|FF","Called Strike","null","null"
"375","Kevin Quackenbush",502054,"CU|CU","Called Strike","null","null"
"379","Kevin Quackenbush",571757,"CU|FF","Called Strike","null","null"
"381","Kevin Quackenbush",543939,"FF|FF","Foul","null","null"
"383","Kevin Quackenbush",451705,"CU|CU","Called Strike","null","null"
"385","Kevin Quackenbush",594824,"CU|FF","In play, out(s)","69","5.82"
"387","Kevin Quackenbush",594824,"FF|FF","Foul (Runner Going)","null","null"
"389","Kevin Quackenbush",576397,"CU|CU","Called Strike","null","null"
"392","Kevin Quackenbush",572039,"CU|FF","Swinging Strike","null","null"
"393","Kevin Quackenbush",572039,"FF|CU","Called Strike","null","null"
"394","Kevin Quackenbush",572039,"CU|FF","Foul","null","null"
"398","Kevin Quackenbush",457763,"FF|FF","In play, run(s)","100.3","34.27"
"400","Kevin Quackenbush",543063,"CU|FF","Called Strike","null","null"
"401","Kevin Quackenbush",543063,"FF|CU","Swinging Strike","null","null"
"402","Kevin Quackenbush",543063,"CU|FF","Called Strike","null","null"
"405","Kevin Quackenbush",607776,"FF|CU","Swinging Strike","null","null"
"406","Kevin Quackenbush",607776,"CU|FF","Called Strike","null","null"
"409","Kevin Quackenbush",453923,"FF|FF","In play, no out","81.2","18.93"
"411","Kevin Quackenbush",455369,"CU|FF","Called Strike","null","null"
"413","Kevin Quackenbush",455369,"CU|FF","In play, out(s)","62.8","-5.97"
"416","Kevin Quackenbush",572204,"CU|FF","Foul","null","null"
"418","Kevin Quackenbush",572204,"FF|FF","Foul","null","null"
"420","Kevin Quackenbush",572204,"CU|FF","Swinging Strike","null","null"
"421","Kevin Quackenbush",572204,"FF|FF","Swinging Strike","null","null"
"424","Kevin Quackenbush",400284,"CU|FF","Swinging Strike","null","null"
"426","Kevin Quackenbush",400284,"FF|FF","Called Strike","null","null"
"434","Kevin Quackenbush",408236,"CU|FF","Called Strike","null","null"
"437","Kevin Quackenbush",592273,"FF|FF","Called Strike","null","null"
"438","Kevin Quackenbush",592273,"FF|FF","Foul","null","null"
"441","Kevin Quackenbush",592273,"FF|CU","In play, out(s)","null","null"
"445","Kevin Quackenbush",456078,"CU|FF","Foul","null","null"
"448","Kevin Quackenbush",456078,"FF|FF","Called Strike","null","null"
"450","Kevin Quackenbush",456078,"FF|FF","In play, no out","104.4","1.19"
"452","Kevin Quackenbush",594838,"FF|CU","In play, out(s)","87.7","24.52"
"453","Kevin Quackenbush",594838,"CU|CU","Swinging Strike (Blocked)","null","null"
"457","Kevin Quackenbush",456078,"FF|CU","In play, out(s)","94.4","18.94"
"458","Kevin Quackenbush",456078,"CU|FF","Called Strike","null","null"
"459","Kevin Quackenbush",456078,"FF|FF","Foul","null","null"
"461","Kevin Quackenbush",630111,"FF|FF","Swinging Strike","null","null"
"462","Kevin Quackenbush",630111,"FF|FF","Foul","null","null"
"464","Kevin Quackenbush",592273,"FF|FF","Foul","null","null"
"466","Kevin Quackenbush",605113,"CU|FF","Foul","null","null"
"467","Kevin Quackenbush",605113,"FF|FF","Foul","null","null"
"468","Kevin Quackenbush",605113,"FF|FF","Called Strike","null","null"
"469","Kevin Quackenbush",605113,"FF|FF","Foul","null","null"
"471","Kevin Quackenbush",605113,"CU|CU","Called Strike","null","null"
"476","Kevin Quackenbush",453056,"FF|CU","Foul","null","null"
"479","Kevin Quackenbush",121347,"FF|CU","Foul","null","null"
"482","Kevin Quackenbush",121347,"CU|FF","In play, out(s)","103","-1.68"
"483","Kevin Quackenbush",121347,"FF|CU","Called Strike","null","null"
"484","Kevin Quackenbush",121347,"CU|FF","Foul","null","null"
"485","Kevin Quackenbush",121347,"FF|FF","Foul","null","null"
"486","Kevin Quackenbush",121347,"FF|FF","Foul","null","null"
"489","Kevin Quackenbush",435263,"CU|FF","In play, no out","77.2","18"
"492","Kevin Quackenbush",458731,"FF|FF","Foul","null","null"
"494","Kevin Quackenbush",458731,"FF|FF","Called Strike","null","null"
"496","Kevin Quackenbush",458731,"FF|FF","In play, run(s)","98.8","11.69"
"499","Kevin Quackenbush",572073,"CU|FF","Called Strike","null","null"
"501","Kevin Quackenbush",460099,"CU|FF","In play, no out","85.6","14"
"503","Kevin Quackenbush",448801,"FF|FF","In play, no out","106.3","15.53"
"508","Kevin Quackenbush",446308,"CU|FF","Foul","null","null"
"510","Kevin Quackenbush",446308,"FF|CU","Foul","null","null"
"511","Kevin Quackenbush",446308,"CU|FF","In play, out(s)","90.7","-15.83"
"514","Kevin Quackenbush",429666,"CU|FF","Called Strike","null","null"
"515","Kevin Quackenbush",429666,"FF|CU","Foul","null","null"
"517","Kevin Quackenbush",429666,"FF|FF","In play, out(s)","null","null"
"522","Kevin Quackenbush",547957,"CU|FF","Foul","null","null"
"524","Kevin Quackenbush",543118,"FF|FF","Called Strike","null","null"
"525","Kevin Quackenbush",543118,"FF|FF","Called Strike","null","null"
"527","Kevin Quackenbush",430945,"FF|CU","In play, out(s)","82.9","4.38"
"528","Kevin Quackenbush",430945,"CU|CU","Swinging Strike","null","null"
"530","Kevin Quackenbush",571740,"CU|CU","In play, no out","66.9","20.93"
"537","Kevin Quackenbush",474443,"FF|FF","Foul","null","null"
"538","Kevin Quackenbush",474443,"FF|FF","In play, out(s)","null","null"
"541","Kevin Quackenbush",446359,"FF|FF","In play, out(s)","85.1","27.36"
"546","Kevin Quackenbush",475247,"CU|FF","Called Strike","null","null"
"547","Kevin Quackenbush",475247,"FF|FF","In play, out(s)","84","43.43"
"549","Kevin Quackenbush",506747,"CU|CU","Swinging Strike","null","null"
"551","Kevin Quackenbush",506747,"CU|FF","Foul","null","null"
"555","Kevin Quackenbush",475582,"CU|FF","In play, run(s)","110.9","4.6"
"557","Kevin Quackenbush",467092,"FF|FF","In play, out(s)","89.5","28.86"
"558","Kevin Quackenbush",467092,"FF|FF","Called Strike","null","null"
"560","Kevin Quackenbush",467092,"CU|FF","Foul","null","null"
"562","Kevin Quackenbush",543685,"FF|FF","In play, out(s)","102.7","19.32"
"566","Kevin Quackenbush",457787,"FF|FF","Foul","null","null"
"567","Kevin Quackenbush",457787,"FF|FF","Called Strike","null","null"
"569","Kevin Quackenbush",457787,"CU|FF","Swinging Strike","null","null"
"572","Kevin Quackenbush",452220,"CU|FF","Foul","null","null"
"573","Kevin Quackenbush",452220,"FF|FF","In play, out(s)","90.2","11.83"
"574","Kevin Quackenbush",452220,"FF|FF","Called Strike","null","null"
"575","Kevin Quackenbush",452220,"FF|CU","Foul","null","null"
"577","Kevin Quackenbush",452220,"FF|FF","Foul","null","null"
"581","Kevin Quackenbush",502317,"FF|FF","Foul","null","null"
"584","Kevin Quackenbush",502317,"FF|FF","In play, out(s)","73.9","-16.74"
"586","Kevin Quackenbush",445988,"FF|CU","In play, out(s)","null","null"
"588","Kevin Quackenbush",445988,"FF|FF","Called Strike","null","null"
"590","Kevin Quackenbush",453400,"FF|FF","In play, out(s)","98","32.35"
"591","Kevin Quackenbush",453400,"FF|CU","Called Strike","null","null"
"593","Kevin Quackenbush",500743,"null|FF","Called Strike","null","null"
"595","Kevin Quackenbush",400085,"FF|FF","Called Strike","null","null"
"596","Kevin Quackenbush",400085,"FF|CU","In play, out(s)","54","-45.45"
"598","Kevin Quackenbush",400085,"CU|FF","Called Strike","null","null"
"602","Kevin Quackenbush",425772,"CU|CU","In play, out(s)","94.4","30.78"
"603","Kevin Quackenbush",425772,"CU|FF","Foul","null","null"
"608","Kevin Quackenbush",453568,"CU|FF","Called Strike","null","null"
"609","Kevin Quackenbush",453568,"FF|FF","In play, out(s)","90.9","20.71"
"611","Kevin Quackenbush",571448,"CU|FF","In play, out(s)","null","null"
"614","Kevin Quackenbush",471865,"FF|FF","Foul","null","null"
"615","Kevin Quackenbush",471865,"FF|FF","Foul","null","null"
"616","Kevin Quackenbush",471865,"FF|FF","Foul","null","null"
"617","Kevin Quackenbush",471865,"FF|FF","Foul","null","null"
"618","Kevin Quackenbush",471865,"FF|FF","Foul","null","null"
"620","Kevin Quackenbush",471865,"FF|CU","In play, out(s)","78.4","-28.97"
"622","Kevin Quackenbush",596115,"FF|FF","Foul","null","null"
"623","Kevin Quackenbush",596115,"FF|FF","Foul","null","null"
"624","Kevin Quackenbush",596115,"FF|FF","Foul","null","null"
"628","Kevin Quackenbush",596115,"FF|FF","Foul","null","null"
"632","Kevin Quackenbush",467827,"CU|CU","Swinging Strike","null","null"
"633","Kevin Quackenbush",467827,"CU|CU","Foul","null","null"
"636","Kevin Quackenbush",448602,"FF|FF","Called Strike","null","null"
"637","Kevin Quackenbush",448602,"FF|CU","In play, run(s)","65.4","43.57"
"640","Kevin Quackenbush",460026,"FF|FF","In play, out(s)","75.6","55"
"641","Kevin Quackenbush",460026,"FF|CU","Called Strike","null","null"
"644","Kevin Quackenbush",518934,"FF|FF","In play, out(s)","73.8","56.69"
"647","Kevin Quackenbush",518934,"FF|FF","Foul","null","null"
"651","Kevin Quackenbush",518934,"FF|FF","Called Strike","null","null"
"652","Kevin Quackenbush",518934,"FF|FF","Swinging Strike","null","null"
"654","Kevin Quackenbush",518934,"FF|FF","Foul (Runner Going)","null","null"
"658","Kevin Quackenbush",471865,"FF|FF","Swinging Strike","null","null"
"660","Kevin Quackenbush",471865,"FF|FF","Swinging Strike","null","null"
"662","Kevin Quackenbush",596115,"FF|FF","Called Strike","null","null"
"663","Kevin Quackenbush",596115,"FF|FF","Called Strike","null","null"
"667","Kevin Quackenbush",467827,"FF|CU","Swinging Strike","null","null"
"668","Kevin Quackenbush",467827,"CU|CU","Foul","null","null"
"669","Kevin Quackenbush",467827,"CU|FF","Foul","null","null"
"671","Kevin Quackenbush",571448,"FF|FF","Swinging Strike","null","null"
"672","Kevin Quackenbush",571448,"FF|CU","In play, out(s)","59.1","3.87"
"673","Kevin Quackenbush",571448,"CU|CU","Called Strike","null","null"
"675","Kevin Quackenbush",435062,"FF|FF","Called Strike","null","null"
"678","Kevin Quackenbush",408236,"FF|FF","Foul","null","null"
"679","Kevin Quackenbush",408236,"FF|FF","Foul","null","null"
"680","Kevin Quackenbush",408236,"FF|FF","In play, run(s)","88.5","16.35"
"683","Kevin Quackenbush",408236,"FF|FF","Foul","null","null"
"685","Kevin Quackenbush",572204,"FF|CU","Called Strike","null","null"
"686","Kevin Quackenbush",572204,"CU|CU","In play, out(s)","95.1","30.36"
"691","Kevin Quackenbush",624577,"FF|FF","In play, out(s)","null","null"
"694","Kevin Quackenbush",408236,"CU|FF","Foul","null","null"
"696","Kevin Quackenbush",408236,"CU|FF","Foul","null","null"
"697","Kevin Quackenbush",408236,"FF|FF","In play, out(s)","91.3","29.02"
"699","Kevin Quackenbush",572204,"CU|FF","Swinging Strike","null","null"
"703","Kevin Quackenbush",572204,"FF|FF","In play, out(s)","97.2","-29.93"
"706","Kevin Quackenbush",622110,"FF|CU","In play, out(s)","95.4","-6.39"
"708","Kevin Quackenbush",622110,"FF|FF","Foul","null","null"
"712","Kevin Quackenbush",457763,"FF|FF","In play, out(s)","96.5","31.22"
"718","Kevin Quackenbush",452254,"FF|SL","In play, out(s)","92.8","-38.42"
"719","Kevin Quackenbush",452254,"SL|CU","Called Strike","null","null"
"720","Kevin Quackenbush",452254,"CU|CU","Foul","null","null"
"725","Kevin Quackenbush",543063,"CU|CU","Swinging Strike","null","null"
"726","Kevin Quackenbush",543063,"CU|FF","Called Strike","null","null"
"728","Kevin Quackenbush",541650,"CU|CU","Called Strike","null","null"
"729","Kevin Quackenbush",541650,"CU|FF","Called Strike","null","null"
"732","Kevin Quackenbush",541650,"FF|FF","Foul","null","null"
"733","Kevin Quackenbush",541650,"FF|FF","In play, no out","101.1","17.61"
"736","Kevin Quackenbush",570717,"CU|FF","Foul","null","null"
"738","Kevin Quackenbush",570717,"CU|CU","Called Strike","null","null"
"739","Kevin Quackenbush",570717,"CU|FF","Called Strike","null","null"
"741","Kevin Quackenbush",570717,"FF|FF","Foul","null","null"
"743","Kevin Quackenbush",605200,"FF|FF","Foul","null","null"
"745","Kevin Quackenbush",542340,"FF|FF","In play, out(s)","null","null"
"748","Kevin Quackenbush",571697,"FF|CU","Swinging Strike (Blocked)","null","null"
"749","Kevin Quackenbush",571697,"CU|CU","Swinging Strike (Blocked)","null","null"
"750","Kevin Quackenbush",571697,"CU|CU","Foul","null","null"
"752","Kevin Quackenbush",518960,"FF|FF","Called Strike","null","null"
"757","Kevin Quackenbush",474892,"FF|FF","Called Strike","null","null"
"758","Kevin Quackenbush",474892,"FF|FF","In play, run(s)","109.2","14.56"
"760","Kevin Quackenbush",518960,"FF|FF","Foul","null","null"
"761","Kevin Quackenbush",518960,"FF|CU","Foul","null","null"
"764","Kevin Quackenbush",518960,"FF|FF","Foul","null","null"
"765","Kevin Quackenbush",518960,"FF|FF","In play, out(s)","94.6","34.38"
"767","Kevin Quackenbush",570267,"SL|FF","Called Strike","null","null"
"772","Kevin Quackenbush",543590,"FF|FF","In play, run(s)","100.6","13.45"
"774","Kevin Quackenbush",431094,"CU|FF","Called Strike","null","null"
"779","Kevin Quackenbush",595879,"CU|FF","Called Strike","null","null"
"781","Kevin Quackenbush",595879,"CU|CU","Foul","null","null"
"784","Kevin Quackenbush",595879,"FF|FF","Swinging Strike","null","null"
"787","Kevin Quackenbush",600303,"CU|CU","Called Strike","null","null"
"788","Kevin Quackenbush",600303,"CU|FF","Foul","null","null"
"790","Kevin Quackenbush",600303,"CU|FF","In play, out(s)","85.1","49.27"
"792","Kevin Quackenbush",424325,"FF|FF","Foul","null","null"
"794","Kevin Quackenbush",424325,"CU|FF","In play, out(s)","88.5","51.38"
"796","Kevin Quackenbush",451594,"CU|CU","Foul","null","null"
"798","Kevin Quackenbush",451594,"CU|FF","Called Strike","null","null"
"800","Kevin Quackenbush",451594,"FF|FF","Called Strike","null","null"
"801","Kevin Quackenbush",451594,"FF|FF","Called Strike","null","null"
"802","Kevin Quackenbush",451594,"FF|FF","Foul","null","null"
"807","Kevin Quackenbush",592178,"FF|FF","Called Strike","null","null"
"808","Kevin Quackenbush",592178,"FF|FF","In play, out(s)","68.9","0.79"
"810","Kevin Quackenbush",493316,"SL|FF","In play, out(s)","null","null"
"811","Kevin Quackenbush",493316,"FF|FF","Called Strike","null","null"
"814","Kevin Quackenbush",446263,"FF|CU","Called Strike","null","null"
"816","Kevin Quackenbush",527038,"CU|FF","Foul","null","null"
"817","Kevin Quackenbush",527038,"FF|FF","Foul","null","null"
